Nodes,X,Y,PacketSize,Rate,PacketsSent,PacketsReceived,PacketLoss,PacketDeliveryRatio,AvgDelay,Throughput,AvgJitter,Congestion
27,574,453,789,10,3536395,1926730,1609665,54.48,1.6e-05,78919115.71,4.7e-05,1
22,546,464,794,7,2154334,1162595,991739,53.97,2.8e-05,47620034.94,7.7e-05,1
30,480,482,793,8,3273907,1792000,1481907,54.74,2.5e-05,73400339.08,5e-05,1
42,536,534,655,9,5433390,3433246,2000144,63.19,3.2e-05,140625846.0,2.6e-05,1
49,518,519,804,8,4748775,2936293,1812482,61.83,5.4e-05,120270819.86,3.1e-05,1
39,495,569,667,4,2291674,1450096,841578,63.28,7.2e-05,59396128.76,6.2e-05,0
30,452,585,766,5,1963223,1209022,754201,61.58,5.1e-05,49521783.88,7.4e-05,0
23,587,568,852,3,830807,498546,332261,60.01,8.2e-05,20420505.17,0.000181,0
10,573,461,645,6,1045673,587866,457807,56.22,4e-05,24079019.05,0.000153,0
44,431,468,878,2,1046446,793932,252514,75.87,0.000218,32519678.64,0.000113,0
47,451,513,1018,7,5578886,3275303,2303583,58.71,4e-05,152940237.16,2.4e-05,1
55,406,407,900,5,2986468,2169442,817026,72.64,0.000155,88860399.67,4.1e-05,0
18,496,424,648,8,2529370,1317518,1211852,52.09,1.7e-05,53965834.63,6.8e-05,1
24,453,408,781,7,2406035,1294913,1111122,53.82,3.3e-05,53039749.3,7e-05,1
44,572,408,968,9,4046249,2527599,1518650,62.47,5.9e-05,103530524.87,3.6e-05,1
24,438,463,774,3,1051894,602764,449130,57.3,8.3e-05,24689539.1,0.000149,0
38,442,435,712,9,4906221,2862737,2043484,58.35,3.3e-05,117257719.9,3.1e-05,1
45,428,454,853,1,579200,512980,66220,88.57,0.000381,21011752.69,0.000175,0
35,449,492,704,1,565936,414261,151675,73.2,0.000317,16968234.91,0.000217,0
22,495,529,761,7,2163841,1215123,948718,56.16,2.9e-05,49771538.26,7.4e-05,0
37,413,431,995,8,2950023,1820045,1129978,61.7,7.1e-05,74549218.39,4.9e-05,0
37,518,521,888,9,3731267,2212935,1518332,59.31,4.4e-05,90641988.31,4.1e-05,1
43,522,473,549,4,3265572,1880563,1385009,57.59,5e-05,77028021.47,4.8e-05,1
22,562,505,864,2,558634,353913,204721,63.35,0.000157,14496606.86,0.000254,0
12,559,573,532,3,763167,457099,306068,59.9,8e-05,18722996.03,0.000197,0
55,513,416,642,3,2579473,1794281,785192,69.56,0.000142,73493848.98,5e-05,0
29,510,530,659,7,3214480,1762517,1451963,54.83,2.3e-05,72192809.46,5.1e-05,1
51,449,551,645,4,3112949,2084995,1027954,66.98,0.000108,85401860.64,4.3e-05,0
12,456,404,547,6,1511411,814774,696637,53.91,3.2e-05,33373223.69,0.00011,1
37,498,447,832,2,961938,637954,323984,66.32,0.00018,26130684.41,0.000141,0
45,474,472,1013,3,2665413,1753410,912003,65.78,0.000117,71821364.04,5.1e-05,0
13,551,485,542,3,804601,448127,356474,55.7,8e-05,18355376.21,0.000201,1
45,522,589,787,7,3801203,2487490,1313713,65.44,7.4e-05,101887860.29,3.6e-05,0
49,457,591,877,2,1155891,878978,276913,76.04,0.000219,36003743.56,0.000102,0
43,477,511,744,4,2485431,1417997,1067434,57.05,6.6e-05,58081895.34,6.3e-05,0
23,494,432,663,9,3234671,1762960,1471711,54.5,1.9e-05,72211030.83,5.1e-05,1
13,425,488,595,5,1179313,638060,541253,54.1,4.4e-05,26135133.87,0.000141,1
49,586,588,684,3,2035249,1526550,508699,75.01,0.000148,62527592.42,5.9e-05,0
15,438,516,993,1,192217,127458,64759,66.31,0.000645,5220804.93,0.000706,0
11,546,494,663,3,558786,318297,240489,56.96,0.00011,13037458.91,0.000283,0
28,421,530,899,5,1643428,945949,697479,57.56,4.1e-05,38746352.11,9.5e-05,0
38,525,562,578,9,5591683,3280412,2311271,58.67,2.8e-05,142630230.17,2.6e-05,1
36,599,504,999,9,3288351,2029171,1259180,61.71,6.7e-05,83115082.7,4.4e-05,0
45,578,510,660,3,2065074,1381770,683304,66.91,0.000127,56597513.94,6.5e-05,0
33,525,487,739,7,3203669,1822828,1380841,56.9,3.6e-05,74663096.23,4.9e-05,1
16,597,417,546,8,2657710,1393486,1264224,52.43,1.7e-05,57077223.66,6.5e-05,1
48,593,429,602,10,5266926,3619213,1647713,68.72,4.9e-05,192728916.18,1.8e-05,1
25,463,505,979,10,2651249,1454744,1196505,54.87,2.6e-05,59586381.81,6.2e-05,1
35,531,551,806,7,3090402,1769769,1320633,57.27,3.4e-05,72489860.04,5.1e-05,0
13,516,524,818,2,290131,220239,69892,75.91,0.000211,9021020.38,0.000409,0
29,548,596,526,8,4195615,2502200,1693415,59.64,1.8e-05,102490443.04,3.6e-05,1
30,554,510,967,3,1023146,613201,409945,59.93,0.000104,25117197.64,0.000147,0
42,520,437,641,4,2773366,1641621,1131745,59.19,6.3e-05,67241475.97,5.5e-05,0
12,528,497,754,5,866816,506972,359844,58.49,5.2e-05,20765598.5,0.000178,0
30,572,477,908,8,2761755,1571608,1190147,56.91,2.8e-05,64373598.62,5.7e-05,0
11,527,401,711,9,1461856,772391,689465,52.84,2.5e-05,31637140.11,0.000117,1
29,413,591,827,4,1395935,862652,533283,61.8,7.2e-05,35334534.39,0.000104,0
13,527,449,977,6,862730,463351,399379,53.71,4.8e-05,18978864.11,0.000194,1
50,460,548,802,8,4885249,3094391,1790858,63.34,6.1e-05,126746682.5,2.9e-05,1
11,513,556,696,10,1497131,869524,627607,58.08,2.2e-05,35615878.77,0.000104,0
50,436,502,755,5,3389515,2116100,1273415,62.43,7.8e-05,86675760.23,4.3e-05,0
22,508,452,785,6,1774016,1020531,753485,57.53,3.5e-05,41801053.57,8.8e-05,0
54,545,423,749,3,2172572,1818466,354106,83.7,0.000235,74484467.91,4.9e-05,0
10,520,514,950,7,863423,463571,399852,53.69,4.4e-05,18988015.32,0.000194,1
38,498,546,774,1,549922,416144,133778,75.67,0.000314,17045292.44,0.000216,0
33,520,419,857,3,1200626,731786,468840,60.95,9.4e-05,29974299.25,0.000123,0
52,587,509,562,7,5284106,3613505,1670601,68.38,6.8e-05,164802946.69,2.2e-05,1
17,494,475,966,7,1244110,704565,539545,56.63,3.3e-05,28859210.68,0.000128,0
56,543,587,771,10,5262070,3624742,1637328,68.88,5.8e-05,179851767.17,2e-05,1
48,477,456,876,10,5562139,3254497,2307642,58.51,4e-05,134503807.53,2.7e-05,1
34,410,542,788,2,959743,613442,346301,63.92,0.000157,25126707.6,0.000147,0
29,545,519,796,9,3309775,1868218,1441557,56.45,2.2e-05,76522456.79,4.8e-05,1
17,431,427,719,1,292024,190966,101058,65.39,0.000429,7822294.57,0.000471,0
19,468,528,604,8,2671583,1412844,1258739,52.88,1.7e-05,57870293.36,6.4e-05,1
46,421,401,602,4,3168283,2022592,1145691,63.84,9.9e-05,82845483.59,4.4e-05,0
54,596,544,1006,7,5304787,3601717,1703070,67.9,6.1e-05,185585962.37,1.9e-05,1
18,568,454,567,7,2395358,1326786,1068572,55.39,2.1e-05,54345454.0,6.8e-05,1
13,518,458,828,9,1262344,789627,472717,62.55,2.6e-05,32343258.73,0.000114,0
58,570,460,685,3,2514118,1995798,518320,79.38,0.000194,81747974.64,4.5e-05,0
44,495,436,882,4,2079621,1361164,718457,65.45,0.000121,55753664.93,6.6e-05,0
47,560,525,526,2,1768808,1264952,503856,71.51,0.000149,51812518.48,7.1e-05,0
18,439,504,542,5,1877799,1013075,864724,53.95,3.1e-05,41495645.2,8.9e-05,1
39,508,402,581,9,5642160,3179295,2462865,56.35,3.1e-05,141848708.56,2.6e-05,1
20,572,517,907,5,1233654,683316,550338,55.39,4.9e-05,27988876.55,0.000132,1
54,474,495,794,9,5411191,3428418,1982773,63.36,7.5e-05,157122912.52,2.3e-05,1
53,528,516,982,1,578867,690607,-111740,119.3,0.000448,28287726.36,0.00013,0
